year,user,area,totalrf_n,ye_n,black_n,pelagic_n,nonpel_n,dsr_n,slope_n,dat_yr,cat,data_source,,,
2016,charter,SSEI,3097,485,756,963,2134,1714,420,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2017,charter,SSEI,3344,369,1217,1749,1595,1312,283,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2017,charter,SSEI,3254,360,1181,1766,1488,1274,214,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2018,charter,SSEI,1164,116,477,640,524,448,76,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2018,charter,SSEI,1162,116,477,640,522,448,74,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2019,charter,SSEI,1003,74,500,641,362,301,61,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2019,charter,SSEI,1029,74,520,667,362,302,60,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
1998,private,SSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
1999,private,SSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,private,SSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,private,SSEI,1111,418,90,244,867,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2001,private,SSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2001,private,SSEI,699,287,17,86,613,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2002,private,SSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2002,private,SSEI,511,154,54,109,402,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2003,private,SSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2003,private,SSEI,665,164,56,151,514,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2004,private,SSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2004,private,SSEI,782,254,83,120,662,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2005,private,SSEI,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2005,private,SSEI,1242,380,116,216,1026,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2006,private,SSEI,1221,301,121,170,1051,918,133,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2006,private,SSEI,1208,296,121,170,1038,907,131,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2007,private,SSEI,1591,372,124,181,1410,1217,193,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2007,private,SSEI,1581,366,124,181,1400,1209,191,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2009,private,SSEI,1041,217,94,212,829,749,80,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2009,private,SSEI,1035,217,94,212,823,743,80,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2013,private,SSEI,1571,294,199,272,1299,1095,204,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2013,private,SSEI,1570,293,199,273,1297,1094,203,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2014,private,SSEI,1979,332,149,328,1651,1326,325,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2014,private,SSEI,1960,323,148,324,1636,1315,321,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2016,private,SSEI,1997,356,155,312,1685,1386,299,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2016,private,SSEI,1992,354,155,311,1681,1383,298,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2017,private,SSEI,1472,337,163,284,1188,985,203,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2017,private,SSEI,1448,332,163,296,1152,968,184,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2018,private,SSEI,1657,349,258,453,1204,1048,156,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2018,private,SSEI,1649,348,258,460,1189,1042,147,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2019,private,SSEI,863,166,181,278,585,520,65,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2019,private,SSEI,855,164,181,278,577,513,64,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
1998,charter,SSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
1999,charter,SSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,charter,SSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,charter,SSEO,506,170,236,262,244,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2001,charter,SSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2001,charter,SSEO,233,48,166,171,62,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2002,charter,SSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2002,charter,SSEO,192,19,94,103,89,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2003,charter,SSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2003,charter,SSEO,315,20,186,261,54,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2004,charter,SSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2004,charter,SSEO,735,70,537,550,185,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2005,charter,SSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2005,charter,SSEO,1160,105,779,834,326,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2010,charter,SSEO,1819,279,1103,1117,702,684,18,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2010,charter,SSEO,1819,279,1103,1115,704,681,23,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
1998,private,SSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
1999,private,SSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,private,SSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2000,private,SSEO,430,132,178,215,215,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2001,private,SSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2001,private,SSEO,248,46,121,124,124,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2002,private,SSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2002,private,SSEO,264,76,109,113,151,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2003,private,SSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2003,private,SSEO,170,42,37,92,78,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2004,private,SSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2004,private,SSEO,287,57,160,165,122,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
2005,private,SSEO,0,NA,NA,NA,NA,NA,NA,2023,'23 data absent from '24 data,Species_comp_Region1_forR_2023.FINAL,,,
2005,private,SSEO,319,69,194,197,122,0,0,2024,"new in '24, absent/different in '23 data",Species_comp_MHS_Region1_forR_2024_RUN_30-Sep-2025,,,
